Class,ko,kom,bom,kbrgm
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
acrocarpia,non_kelp,other,brown_algae,other_brown_alg
acrocarpia,non_kelp,other,brown_algae,other_brown_alg
acrocarpia,non_kelp,other,brown_algae,other_brown_alg
acrocarpia,non_kelp,other,brown_algae,other_brown_alg
acrocarpia,non_kelp,other,brown_algae,other_brown_alg
acrocarpia,non_kelp,other,brown_algae,other_brown_alg
hormosira,non_kelp,other,brown_algae,other_brown_alg
hormosira,non_kelp,other,brown_algae,other_brown_alg
hormosira,non_kelp,other,brown_algae,other_brown_alg
hormosira,non_kelp,other,brown_algae,other_brown_alg
hormosira,non_kelp,other,brown_algae,other_brown_alg
hormosira,non_kelp,other,brown_algae,other_brown_alg
mussels,non_kelp,mineral,mineral,mineral
mussels,non_kelp,mineral,mineral,mineral
mussels,non_kelp,mineral,mineral,mineral
mussels,non_kelp,mineral,mineral,mineral
mussels,non_kelp,mineral,mineral,mineral
mussels,non_kelp,mineral,mineral,mineral
mussels,non_kelp,mineral,mineral,mineral
rock,non_kelp,mineral,mineral,mineral
rock,non_kelp,mineral,mineral,mineral
rock,non_kelp,mineral,mineral,mineral
rock,non_kelp,mineral,mineral,mineral
rock,non_kelp,mineral,mineral,mineral
phyllospora,non_kelp,other,brown_algae,other_brown_alg
phyllospora,non_kelp,other,brown_algae,other_brown_alg
phyllospora,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
cystophora,non_kelp,other,brown_algae,other_brown_alg
cystophora,non_kelp,other,brown_algae,other_brown_alg
cystophora,non_kelp,other,brown_algae,other_brown_alg
cystophora,non_kelp,other,brown_algae,other_brown_alg
cystophora,non_kelp,other,brown_algae,other_brown_alg
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
cystophora,non_kelp,other,brown_algae,other_brown_alg
cystophora,non_kelp,other,brown_algae,other_brown_alg
cystophora,non_kelp,other,brown_algae,other_brown_alg
cystophora,non_kelp,other,brown_algae,other_brown_alg
cystophora,non_kelp,other,brown_algae,other_brown_alg
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
carpophyllum,non_kelp,other,brown_algae,other_brown_alg
carpophyllum,non_kelp,other,brown_algae,other_brown_alg
carpophyllum,non_kelp,other,brown_algae,other_brown_alg
carpophyllum,non_kelp,other,brown_algae,other_brown_alg
carpophyllum,non_kelp,other,brown_algae,other_brown_alg
gravel,non_kelp,mineral,mineral,mineral
gravel,non_kelp,mineral,mineral,mineral
gravel,non_kelp,mineral,mineral,mineral
gravel,non_kelp,mineral,mineral,mineral
grass,non_kelp,other,other,green_veg
grass,non_kelp,other,other,green_veg
grass,non_kelp,other,other,green_veg
grass,non_kelp,other,other,green_veg
grass,non_kelp,other,other,green_veg
rock,non_kelp,mineral,mineral,mineral
rock,non_kelp,mineral,mineral,mineral
rock,non_kelp,mineral,mineral,mineral
rock,non_kelp,mineral,mineral,mineral
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
filamentous_rhodophyte,non_kelp,other,other,red_veg
filamentous_rhodophyte,non_kelp,other,other,red_veg
filamentous_rhodophyte,non_kelp,other,other,red_veg
filamentous_rhodophyte,non_kelp,other,other,red_veg
filamentous_rhodophyte,non_kelp,other,other,red_veg
carpophyllum,non_kelp,other,brown_algae,other_brown_alg
carpophyllum,non_kelp,other,brown_algae,other_brown_alg
carpophyllum,non_kelp,other,brown_algae,other_brown_alg
carpophyllum,non_kelp,other,brown_algae,other_brown_alg
carpophyllum,non_kelp,other,brown_algae,other_brown_alg
carpophyllum,non_kelp,other,brown_algae,other_brown_alg
undaria,kelp,kelp,brown_algae,kelp
undaria,kelp,kelp,brown_algae,kelp
undaria,kelp,kelp,brown_algae,kelp
undaria,kelp,kelp,brown_algae,kelp
undaria,kelp,kelp,brown_algae,kelp
undaria,kelp,kelp,brown_algae,kelp
undaria,kelp,kelp,brown_algae,kelp
undaria,kelp,kelp,brown_algae,kelp
undaria,kelp,kelp,brown_algae,kelp
undaria,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
frondose_rhodophyte,non_kelp,other,other,red_veg
frondose_rhodophyte,non_kelp,other,other,red_veg
frondose_rhodophyte,non_kelp,other,other,red_veg
shell_litter,non_kelp,mineral,mineral,mineral
shell_litter,non_kelp,mineral,mineral,mineral
shell_litter,non_kelp,mineral,mineral,mineral
shell_litter,non_kelp,mineral,mineral,mineral
shell_litter,non_kelp,mineral,mineral,mineral
shell_litter,non_kelp,mineral,mineral,mineral
rock,non_kelp,mineral,mineral,mineral
rock,non_kelp,mineral,mineral,mineral
rock,non_kelp,mineral,mineral,mineral
sand,non_kelp,mineral,mineral,mineral
sand,non_kelp,mineral,mineral,mineral
sand,non_kelp,mineral,mineral,mineral
ulva,non_kelp,other,other,green_veg
ulva,non_kelp,other,other,green_veg
ulva,non_kelp,other,other,green_veg
hormosira,non_kelp,other,brown_algae,other_brown_alg
hormosira,non_kelp,other,brown_algae,other_brown_alg
hormosira,non_kelp,other,brown_algae,other_brown_alg
frondose_rhodophyte,non_kelp,other,other,red_veg
frondose_rhodophyte,non_kelp,other,other,red_veg
frondose_rhodophyte,non_kelp,other,other,red_veg
frondose_rhodophyte,non_kelp,other,other,red_veg
filamentous_rhodophyte,non_kelp,other,other,red_veg
filamentous_rhodophyte,non_kelp,other,other,red_veg
filamentous_rhodophyte,non_kelp,other,other,red_veg
frondose_rhodophyte,non_kelp,other,other,red_veg
frondose_rhodophyte,non_kelp,other,other,red_veg
frondose_rhodophyte,non_kelp,other,other,red_veg
frondose_rhodophyte,non_kelp,other,other,red_veg
undaria,kelp,kelp,brown_algae,kelp
undaria,kelp,kelp,brown_algae,kelp
undaria,kelp,kelp,brown_algae,kelp
undaria,kelp,kelp,brown_algae,kelp
phyllospora,non_kelp,other,brown_algae,other_brown_alg
phyllospora,non_kelp,other,brown_algae,other_brown_alg
phyllospora,non_kelp,other,brown_algae,other_brown_alg
phyllospora,non_kelp,other,brown_algae,other_brown_alg
sargassum,non_kelp,other,brown_algae,other_brown_alg
sargassum,non_kelp,other,brown_algae,other_brown_alg
sargassum,non_kelp,other,brown_algae,other_brown_alg
sargassum,non_kelp,other,brown_algae,other_brown_alg
sargassum,non_kelp,other,brown_algae,other_brown_alg
sargassum,non_kelp,other,brown_algae,other_brown_alg
barnacle_shells,non_kelp,mineral,mineral,mineral
barnacle_shells,non_kelp,mineral,mineral,mineral
worm_castings,non_kelp,mineral,mineral,mineral
worm_castings,non_kelp,mineral,mineral,mineral
worm_castings,non_kelp,mineral,mineral,mineral
scytosiphon,non_kelp,other,brown_algae,other_brown_alg
scytosiphon,non_kelp,other,brown_algae,other_brown_alg
scytosiphon,non_kelp,other,brown_algae,other_brown_alg
scytosiphon,non_kelp,other,brown_algae,other_brown_alg
rock,non_kelp,mineral,mineral,mineral
rock,non_kelp,mineral,mineral,mineral
rock,non_kelp,mineral,mineral,mineral
scytosiphon,non_kelp,other,brown_algae,other_brown_alg
scytosiphon,non_kelp,other,brown_algae,other_brown_alg
scytosiphon,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
durvillaea,non_kelp,other,brown_algae,other_brown_alg
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
petalonia,non_kelp,other,brown_algae,other_brown_alg
petalonia,non_kelp,other,brown_algae,other_brown_alg
petalonia,non_kelp,other,brown_algae,other_brown_alg
petalonia,non_kelp,other,brown_algae,other_brown_alg
petalonia,non_kelp,other,brown_algae,other_brown_alg
petalonia,non_kelp,other,brown_algae,other_brown_alg
petalonia,non_kelp,other,brown_algae,other_brown_alg
petalonia,non_kelp,other,brown_algae,other_brown_alg
petalonia,non_kelp,other,brown_algae,other_brown_alg
petalonia,non_kelp,other,brown_algae,other_brown_alg
petalonia,non_kelp,other,brown_algae,other_brown_alg
petalonia,non_kelp,other,brown_algae,other_brown_alg
petalonia,non_kelp,other,brown_algae,other_brown_alg
petalonia,non_kelp,other,brown_algae,other_brown_alg
petalonia,non_kelp,other,brown_algae,other_brown_alg
petalonia,non_kelp,other,brown_algae,other_brown_alg
petalonia,non_kelp,other,brown_algae,other_brown_alg
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
macrocystis,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
ecklonia,kelp,kelp,brown_algae,kelp
